ProductID,Name,Category,Supplier,Price,StockQuantity
001-0001,Plum,Fruits & Vegetables,Voomm,$4.00 ,95
001-0002,Strawberries,Fruits & Vegetables,Babblestorm,$6.00 ,54
001-0003,Spinach,Fruits & Vegetables,Devshare,$2.50 ,72
001-0004,Green Beans,Fruits & Vegetables,Gigazoom,$2.00 ,81
001-0005,Cabbage,Fruits & Vegetables,Chatterbridge,$1.00 ,88
001-0006,Mushrooms,Fruits & Vegetables,Photospace,$6.00 ,72
001-0007,Pear,Fruits & Vegetables,Centizu,$4.50 ,77
001-0008,Cucumber,Fruits & Vegetables,Brainverse,$1.75 ,19
001-0009,Pineapple,Fruits & Vegetables,Photojam,$3.50 ,18
001-0010,Onion,Fruits & Vegetables,Skyble,$2.00 ,39
001-0011,Zucchini,Fruits & Vegetables,Kare,$2.50 ,61
001-0012,Mango,Fruits & Vegetables,Twitternation,$5.00 ,24
001-0013,Lemon,Fruits & Vegetables,Layo,$2.30 ,12
001-0014,Kiwi,Fruits & Vegetables,Fiveclub,$6.00 ,45
001-0015,Orange,Fruits & Vegetables,Devshare,$3.00 ,85
001-0016,Carrot,Fruits & Vegetables,Avaveo,$1.50 ,51
001-0017,Broccoli,Fruits & Vegetables,Realblab,$4.00 ,73
001-0018,Eggplant,Fruits & Vegetables,Eire,$3.00 ,39
001-0019,Bell Pepper,Fruits & Vegetables,Tagtune,$4.45 ,96
001-0020,Potato,Fruits & Vegetables,Tagtune,$1.20 ,28
001-0021,Peas,Fruits & Vegetables,Edgepulse,$3.00 ,99
001-0022,Blueberries,Fruits & Vegetables,Jaloo,$10.00 ,66
001-0023,Garlic,Fruits & Vegetables,Katz,$7.00 ,27
001-0024,Lettuce,Fruits & Vegetables,Fadeo,$2.00 ,58
001-0025,Coconut,Fruits & Vegetables,Mydo,$5.00 ,89
001-0026,Banana,Fruits & Vegetables,Vinder,$98.43 ,56
001-0027,Pomegranate,Fruits & Vegetables,Dynabox,$6.00 ,60
001-0028,Peach,Fruits & Vegetables,Quire,$4.00 ,47
001-0029,Asparagus,Fruits & Vegetables,Devpoint,$5.00 ,22
001-0030,Watermelon,Fruits & Vegetables,Latz,$3.00 ,75
001-0031,Lime,Fruits & Vegetables,Vinder,$2.00 ,21
001-0032,Greek Yogurt,Fruits & Vegetables,Meeveo,$51.17 ,62
001-0033,Kale,Fruits & Vegetables,Yodoo,$4.00 ,77
001-0034,Grapes,Fruits & Vegetables,Skinix,$5.50 ,88
001-0035,Apricot,Fruits & Vegetables,Quinu,$5.00 ,38
001-0036,Papaya,Fruits & Vegetables,Demivee,$4.50 ,59
001-0037,Apple,Fruits & Vegetables,Zava,$3.50 ,81
001-0038,Cauliflower,Fruits & Vegetables,Abata,$2.50 ,52
001-0039,Tomato,Fruits & Vegetables,Quatz,$2.50 ,84
001-0040,Sweet Potato,Fruits & Vegetables,Photospace,$2.00 ,100
001-0041,Cherry,Fruits & Vegetables,Rooxo,$8.00 ,30
002-0001,Rye Bread,Bakery,Vitz,$3.00 ,26
002-0001,Oatmeal Biscuit,Bakery,Gigazoom,$5.00 ,16
002-0002,Multigrain Bread,Bakery,Roombo,$3.50 ,65
002-0003,Sourdough Bread,Bakery,Flashspan,$4.00 ,41
002-0004,White Bread,Bakery,Skyble,$2.50 ,92
002-0005,Butter Biscuit,Bakery,Ozu,$6.00 ,38
002-0006,Chocolate Biscuit,Bakery,Vidoo,$5.00 ,75
002-0007,Rye Bread,Bakery,Brainlounge,$3.00 ,69
002-0008,Digestive Biscuit,Bakery,BlogXS,$4.00 ,97
002-0009,Vanilla Biscuit,Bakery,Yozio,$5.50 ,80
002-0010,Whole Wheat Bread,Bakery,Lazz,$3.50 ,17
003-0001,Egg (Goose),Dairy,Muxo,$2.50 ,44
003-0002,Greek Yogurt,Dairy,Thoughtstorm,$3.00 ,91
003-0003,Egg (Duck),Dairy,Wordify,$1.00 ,43
003-0004,Feta Cheese,Dairy,Youfeed,$7.00 ,94
003-0005,Swiss Cheese,Dairy,Reallinks,$8.00 ,49
003-0006,Parmesan Cheese,Dairy,Feedspan,$12.00 ,63
003-0007,Egg (Quail),Dairy,Realpoint,$0.80 ,97
003-0008,Butter,Dairy,Kayveo,$3.00 ,51
003-0009,Ricotta Cheese,Dairy,Shufflebeat,$6.00 ,51
003-0010,Mozzarella Cheese,Dairy,Dazzlesphere,$7.00 ,45
003-0011,Heavy Cream,Dairy,Ntags,$4.00 ,12
003-0012,Cream,Dairy,Oyondu,$2.50 ,92
003-0013,Cheese,Dairy,Shuffledrive,$9.00 ,53
003-0014,Cottage Cheese,Dairy,Midel,$5.00 ,37
003-0015,Whipped Cream,Dairy,Feedbug,$4.00 ,29
003-0016,Gouda Cheese,Dairy,Thoughtblab,$7.00 ,100
003-0017,Buttermilk,Dairy,Vinder,$2.50 ,47
003-0018,Sour Cream,Dairy,Skyvu,$4.00 ,11
003-0019,Cheddar Cheese,Dairy,Demizz,$9.00 ,88
003-0020,Egg (Turkey),Dairy,Topiclounge,$2.50 ,44
003-0021,Milk,Dairy,Thoughtsphere,$1.00 ,43
003-0022,Evaporated Milk,Dairy,Blognation,$2.00 ,23
003-0023,Yogurt,Dairy,Miboo,$1.75 ,59
003-0024,Egg (Chicken),Dairy,Realfire,$0.20 ,10
004-0001,Coffee,Beverages,Feedmix,$20.00 ,45
004-0002,Tea,Beverages,Skivee,$20.00 ,55
004-0003,Beer,Beverages,Pixonyx,$30.00 ,77
004-0004,Coca cola,Beverages,Realpoint,$15.00 ,84
004-0005,Pepsi,Beverages,Kwinu,$12.00 ,62
004-0006,Small Water Bottle,Beverages,Brainbox,$5.00 ,46
004-0007,Big Water Bottle,Beverages,Flipbug,$15.00 ,61
004-0008,Blueberry Juice,Beverages,Skipstorm,$25.00 ,99
